Species,family,2013,2014,2015,2016,2017,2018
Aegomorphus modestus,Cerambycidae,0,3,3,3,1,0
Cyrtophorus verrucosus,Cerambycidae,0,0,0,3,11,1
Gaurotes cyanipennis,Cerambycidae,0,0,1,1,9,2
Knulliana cincta,Cerambycidae,1,0,22,11,6,1
Leptostylus transversus,Cerambycidae,1,0,1,3,0,1
Lepturges confluens,Cerambycidae,0,1,4,3,6,0
Megacyllene caryae,Cerambycidae,0,0,4,1,13,0
Molorchus bimaculatus,Cerambycidae,0,0,3,2,3,0
Neoclytus acuminatus,Cerambycidae,30,43,218,209,112,12
Urgleptes querci,Cerambycidae,0,0,3,7,0,11
Xylotrechus colonus,Cerambycidae,5,3,27,66,22,11
Dryophthorus americanus,Curculionidae,0,0,0,2,2,0
Lechriops oculata,Curculionidae,0,0,0,0,7,1
Stenoscelis brevis,Curculionidae,0,0,1,11,12,5
Amphicerus bicaudatus,Bostrichidae,1,0,0,0,0,0
Prostephanus punctatus,Bostrichidae,0,0,0,0,2,0
Ambrosiophilus atratus,Curculionidae,2,1,17,16,24,3
Cyclorhipidion pelliculosum,Curculionidae,1,0,0,45,42,0
Monarthrum fasciatum,Curculionidae,3,1,46,193,31,7
Monarthrum mali,Curculionidae,4,2,5,53,6,0
Xylosandrus germanus,Curculionidae,7,5,44,124,85,7
Cnesinus strigicollis,Curculionidae,0,0,0,16,15,0
Hylesinus aculeatus,Curculionidae,0,0,2,1,0,0
Phloeotribus liminaris,Curculionidae,7,1,47,56,10,0
Agrilus sp,Buprestidae,0,2,0,1,0,0
Cryptolestes sp ,Laemophloeidae,13,0,0,0,0,1
Laemophloeus biguttatus,Laemophloeidae,23,0,0,0,0,0
Pediacus sp ,Cucujidae,2,0,0,0,0,0
Chariessa pilosa,Cleridae,0,2,10,6,0,1
Cymatodera bicolor,Cleridae,0,1,5,3,0,0
Enoclerus nigrifrons,Cleridae,0,0,1,8,0,0
Enoclerus nigripes,Cleridae,16,0,36,32,50,29
Placopterus thoracicus,Cleridae,0,0,6,2,0,0
Pyticeroides laticornis,Cleridae,1,0,2,19,9,1
Zenodosus sanguineus,Thanerocleridae,1,0,0,1,1,0
Anelaphus spp,Cerambycidae,126,4,755,411,333,18
Anisandrus spp,Curculionidae,0,0,3,25,2,0
Braconidae,Braconidae,0,0,0,86,1,3
Cossonus spp,Curculionidae,0,2,2,4,3,0
Cathartosilvanus imbellus,Silvanidae,0,0,0,0,7,0
Corthylus punctatissimus,Curculionidae,0,0,1,8,6,0
Catogenus spp,Passandridae,2,0,0,1,0,6
Ceutorhynchus spp,Curculionidae,1,0,0,12,12,0
Chrysobothris spp,Buprestidae,1,0,0,0,0,4
Chrysopidae,Chrysopidae,1,6,0,16,7,0
Conotrachelus spp,Curculionidae,0,4,32,157,44,3
Curculio spp,Curculionidae,0,0,2,3,0,0
Elaphidion mucronatum,Cerambycidae,1,0,9,1,1,0
Eupogonius pauper,Cerambycidae,0,1,5,5,0,0
Euwallacea validus,Curculionidae,2,1,1,0,0,0
Hemerobiidae,Hemerobiidae,21,41,0,76,2,2
Histeridae,Histeridae,0,1,0,78,89,20
Hylastes spp,Curculionidae,0,0,1,0,0,0
Hylocurus spp,Curculionidae,0,0,3,0,3,0
Hypothenemus spp,Curculionidae,0,3,6,16,38,0
Obrium maculatum,Cerambycidae,0,0,2,0,0,0
Ichneumonidae,Ichneumonidae,0,23,3,64,41,5
Liopinus alpha,Cerambycidae,0,0,10,4,3,0
Madoniella dislocata,Cleridae,0,1,8,35,15,1
Neoclytus mucronatus,Cerambycidae,0,0,0,1,0,4
Neorthopleura thoracica,Cleridae,2,4,7,6,4,0
Notoxus spp,Anthicidae,10,39,3,5,0,0
Phymatodes amoenus,Cerambycidae,2,0,0,5,3,1
Pityophthorus spp,Curculionidae,0,11,2,1,1,0
Plocamus echidna,Curculionidae,0,0,0,5,1,0
Scolytus sp,Curculionidae,0,0,6,4,2,0
Texania campestris,Buprestidae,0,0,0,5,0,0
Tenebroides spp,Trogossitidae,14,0,0,3136,43,3
Xyleborinus saxeseni,Curculionidae,813,809,1357,3352,1746,22
Xylobiops basilaris,Bostrichidae,8,24,138,158,41,3
Xylosandrus crassiusculus,Curculionidae,190,131,417,2825,2343,17
