Pathogen Species,Pathogen King-dom (Phylum),Pathogen Higher taxon,Pathogen Name of Disease,Pathogen Insect Assoc.,Geographic Origin Broad,Geographic Origin Precise,Host N. American in N. America,Host MRCA Level,Host MRCA Taxon,First Record in N. America,"Proximate Host
to N. American Outside N. America",Host Record Outside North America Location,Host Record Outside North America Year,Reference
Allantophomopsiella pseudotsugae,F-A,Ascomycota (p),Phomopsis canker,-,Eur. Palearctic,N. Europe,P. strobus,Family,Pinaceae,1949 (O),"P. menziesii
P. sylvestris",Scotlan; Norway,1920; 1937,Gilman 1949; Hahn 1957; Broders et al. 2015; Martin-Felix et al. 2019
Amylostereum areolatum,F-A,Agaricomycetes (c) ,White rot,S. noctlio,Eur. Palearctic,N. Europe,P. resinosa,Family,Pinaceae,2005 (V),P. radiata,Australia,1969,Gaut 1969; Wilson et al. 2009
Apiognomonia errabunda f. sp. querci,F-A,Diaporthales (o),Oak anthracnose,-,Eur. Palearctic,N. Europe,Quercus spp.,Family,Fagaceae,1929 (O),Fagus sp.,France,1848,Roberge 1848; Gilman and Archer 1929; Sogonov 2007; Boron 2019
Apiognomonia veneta,F-A,Diaporthales (o),Sycamore anthracnose,(in Italy),Eur. Palearctic,C. Europe,P. occidentalis,Genus,Platanus,1877 (O),P. occidentalis,France,1848,Sogonov et al. 2007
Bretziella fagacearum,F-A,Microascales (o),Oak wilt,C. truncatus,Neotropic,Mexico,Quercus sect. Lobatae,Section,Lobatae,1944 (O),Unknown,Unknown,Unknown,"Juzwik et al. 2008; Index of Fungi 1, p 106"
Candidatus Phytoplasma fraxini,B,Mollicutes (c),Ash yellows,Auchenorrhyncha,Nearctic,Central US,Fraxinus spp.,Genus,Fraxinus,1930s (O),Fraxinus sp.,Central states,1930s,Note: invasive in Northeast US; CABI FC
Candidatus Phytoplasma trifoli,B,Mollicutes (c),Clover proliferation phytoplasma,Auchenorrhyncha,Cryptogenic,-,Ulmus spp.,Phylum,Angiosperms,1990 (O),Trifolium sp.,Canada,1960s,CABI; Flower et al. 2018
Candidatus Phytoplasma ulmi,B,Mollicutes (c),Elm yellows,Auchenorrhyncha,Eur. Palearctic,Europe,Ulmus spp.,Genus,Ulmus,1880 (O),U. minor,Italy,1981,Sinclair 2000; Mittempergher 2000
Cronartium ribicola,F-B,Pucciniales (o),White pine blister rust,-,As. Palearctic,Tibet,Pinus sect. Quinquefoliae subsect. Strobus,Subsection,Strobus,1898 (I),P. strobus,Germany,1888,Spaulding 1956; De-Toni 1888
Cryphonectria parasitica,F-A,Diaporthales (o),Chestnut blight,-,As. Palearctic,"China, Japan",C. dentata,Supergenus,Castanea + Castanopsis,1905 (O),"C. mollissima, henryi, or seguinii",China,1913,Anagnostakis 1987; Shear and Stevens 1913
Cryptodiaporthe populea,F-A,Botryosphariales (o),Dothichiza canker,-,Palearctic,N. Europe,Populus spp.,Subgenus,Eupopulus,1896 (O),Po. deltoides,Italy,1901,"Hedgecock and Hunt, 1916"
Diplodia corticola,F-A,Botryosphariales (o),Bot canker of oak,-,Eur. Palearctic,S. Europe,Quercus and Vitis spp.,Superorder,Rosids,1998 (O),Q. suber,Spain,1989,Alves et al. 2004; Martin and Munck 2020; Urbez-Torres et al. 2010; Lynch et al. 2010
Diplodia quercivora,F-A,Botryosphariales (o),Bot canker of oak,-,Eur. Palearctic,S. Europe/ N. Africa,Quercus spp.,Genus,Quercus,2010 (O),Q. suber,Tunisia,2013,Linaldeddu et al. 2013; Dreaden et al. 2014; Martin and Munck 2020
Diplodia sapinea,F-A,Botryosphariales (o),Diplodia Tip Blight,-,Eur. Palearctic,N. Europe,Pinaceae,Family,Pinaceae,1881 (O),P. pinaster,Netherlands,1873,MycoPortal
Discula destructiva,F-A,Diaporthales (o),Dogwood anthracnose,-,Cryptogenic,-,Cornus spp.,Genus,Cornus,1978 (I),-,-,-,"Daughtrey and Hibben, 1994; Hibben and Daughtrey, 1988; Xiang et al. 2006"
Dothistroma septosporum,F-A,Capnodiales (o),Dothistroma needle blight,-,Eur. Palearctic,Baltics,Pinus spp.,Genus,Pinus,1957 (O),Pinus sp.,Denmark,1888,Hulbary 1941; Syll. Fung. XXV; Doroguine 1911; Munk 1957; Adamson et al. 2018; Barnes et al. 2004
Fusarium circinatum,F-A,Hypocreales (o),Pine pitch canker,Coleoptera,Neotropic,C. America,Pinus subg. Pinus,Subgenus,Pinus,1946 (O),P. occidentalis,Haiti,1953,Nirenberg and O'Donnell 1998; Hepting and Roth 1946; Starkey et al. 2007; Dwinell 1999
Fusarium torreyae,F-A,Hypocreales (o),Canker disease of Torrey pine,-,Cryptogenic,-,T. taxifolia,Species,T. taxifolia,1930 (O),-,-,-,Smith et al. 2011; Aoki et al. 2013
Geosmithia morbida,F-A,Hypocreales (o),Thousand cankers disease,P. juglandis,Nearctic,SW US / Mexico,Juglans spp.,Genus,Juglans,1990 (O),J. nigra,Italy,2014,Montecchio et al. 2014
Graphium euwallaceae,F-A,Ophiostomatales (o),Fusarium dieback,E. fornicatus PSHB,Indomalaya,Indomalaya,Highly polyphagous,Phylum,Angiosperms,2012 (O),Angiosperms,Indomalaya,1968,Mendel et al. 2021; Eskalen et al. 2013; Danthanarayana 1968
Gremmeniella abietina var. abietina (EU race),F-A,Helotiales (o),Scleroderris canker,-,Eur. Palearctic,Europe,Pinus spp.,Genus,Pinus,1942 (O),P. resinosa,Denmark,1930,Petrini et al. 1989; Hamelin et al 2000; Hamelin et al. 1996
Lachnellula willkommii,F-A,Ascomycota (p),Larch canker,-,Eur. Palearctic,Europe,L. laricina & occidentalis,Genus,Larix,1927 (O),L. laricina & occidentalis,Denmark,1850,Opperman 1923; Spaulding and Siggers 1927
Lecanosticta acicola,F-A,Capnodiales (o),Brown spot needle blight,-,Neotropic,C. America,Pinus spp.,Genus,Pinus,1878 (O),P. ayacahuite,Mexico,2000,Thüm 1978; Rogerson 1953; Marmolejo 2000
